Assassin,bf,spat,5
Blademaster,bow,spat,2
BT,bf,cloak,3
Deathcap,rod,rod,3
Demon,tear,spat,2
Disarmer,vest,cloak,1
Dragons Claw,cloak,cloak,4
FoN,spat,spat,5
Frozen Heart,tear,vest,4
GA,bf,vest,2
Glacial,belt,spat,3
Gunblade,bf,rod,3
Hurricane,cloak,spat,3
IE,bf,bf,3
Ionian,rod,cloak,2
Knight,vest,spat,1
Locket,rod,vest,2
Ludens Echo,rod,tear,1
Morello,rod,belt,3
PD,bow,vest,5
Red buff,vest,belt,4
Rageblade,rod,bow,4
Redemption,tear,belt,1
RFC,bow,bow,5
Seraphs,tear,tear,4
Shiv,bow,tear,1
Shrinker,bow,cloak,1
Silencer,tear,cloak,1
Sorcerer,rod,spat,2
Shojin,bf,tear,4
Sword of the Divine,bf,bow,3
Thornmail,vest,vest,3
Titanic,bow,belt,4
Warmogs,belt,belt,1
Zapper,rod,cloak,1
Zekes,bf,belt,4
Zephr,cloak,belt,3
